"﻿""Product Name""",No,category,collection,target market,Calculate on Weight,Dimensions(mm) x y z,description (80 word),Price < 25 QTY,Price >=25 QTY,discount cal,Document Link,Discount %,calc,Name on Store,Arabic Name,Available,Hidden,Colors,Image,Gallery
Modern Matte White Sauropod Ring Holder,JWHLD-1225-011,Jewelry Organizer,The Prehistoric Modern Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",13,52.3 * 31.32 * 83.5,"Add a whimsical touch to your vanity with this Modern Matte White Sauropod Ring Holder.  Modeled after a gentle giant, this minimalist figure features an elongated neck designed to securely stack your favorite rings.  Its clean lines and smooth finish make it a stylish accent piece that functions as both a jewelry organizer and a charming decorative sculpture, perfect for holding wedding bands or everyday accessories.",1.05,0.84,20,https://drive.google.com/file/d/1GmeYzZ25jadH3oXa0lV494vHH-8EtdPF/view?usp=drive_link,20% Discount,,Valentinosaurus - Ringosaurus V2 - Ring Holder,Ø­Ø§Ù…Ù„ Ø®ÙˆØ§ØªÙ… Ø¹ØµØ±ÙŠ Ø¹Ù„Ù‰ Ø´ÙƒÙ„ Ø¯ÙŠÙ†Ø§ØµÙˆØ± (Ø³ÙˆØ±ÙˆØ¨ÙˆØ¯) Ø£Ø¨ÙŠØ¶ Ù…Ø·ÙÙŠ,,,"Black,White,,",,
Sculpted Tree Jewelry Organizer with Drawer Base,JWHLD-1225-005,Jewelry Organizer,The Botanical Storage Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",185,121 * 184.5 * 241,"Bring a touch of organic elegance to your vanity with this Sculpted Tree Jewelry Organizer.  Modeled with intricate branching limbs, it provides ample hanging space to keep necklaces, bracelets, and earrings tangle- free while showcasing them like art.  The sturdy base enhances functionality with two compact pull-out drawers, perfect for concealing rings, studs, or delicate keepsakes.  Finished with a modern speckled texture, this piece effortlessly blends whimsical nature-inspired design with practical, clutter-free storage.",7.44,7.44,0,https://drive.google.com/file/d/1tVjZeA9mwUhSZY2-ADTcQUjzbnyQhpJE/view?usp=drive_link,,,Jewelry Tree Stand - Elegant Organizer with Drawer,Ù…Ù†Ø¸Ù… Ù…Ø¬ÙˆÙ‡Ø±Ø§Øª Ø¹Ù„Ù‰ Ø´ÙƒÙ„ Ø´Ø¬Ø±Ø© Ù…Ù†Ø­ÙˆØªØ© Ù…Ø¹ Ù‚Ø§Ø¹Ø¯Ø© Ø¨Ù€Ø¯ÙØ±Ø¬,,,"Black,White,,",,
Whimsical Long-Neck Dinosaur Ring Holder Dish,JWHLD-1225-007,Jewelry Organizer,The Prehistoric Modern Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",32,88.3 * 88.3 * 86.1,"Add a playful touch to your dresser with this Whimsical Long-Neck Dinosaur Ring Holder Dish.  Crafted in a sleek matte black finish, this adorable sauropod features a long neck designed to securely stack your favorite rings, while the integrated base tray keeps necklaces, earrings, and bracelets organized.  It is the perfect blend of fun and function, making it a delightful accent piece for any bedside table or bathroom vanity.",2.475,1.98,20,Ringosaurus Ring Holder with Tray,20% Discount,,Ringosaurus Ring Holder with Tray,Ø·Ø¨Ù‚ ÙˆØ­Ø§Ù…Ù„ Ø®ÙˆØ§ØªÙ… Ø¨ØªØµÙ…ÙŠÙ… Ø¯ÙŠÙ†Ø§ØµÙˆØ± Ø·ÙˆÙŠÙ„ Ø§Ù„Ø¹Ù†Ù‚ Ù…Ø±Ø­,,,"Black,White,,",,
Geometric Low-Poly Hand Ring Display Stand,JWHLD-1225-001,Jewelry Organizer,The Modern Facets Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",43,69.8 * 67.2 * 115.8,"Elevate your vanity with this striking Geometric Low-Poly Hand Ring Display Stand. Crafted with a sleek, faceted design, this white sculptural piece functions as both a practical jewelry organizer and a modern art accent.  Its distinct geometric planes catch the light beautifully, while the slender fingers provide secure, accessible storage for multiple rings.  Perfect for showcasing wedding bands or statement pieces, this durable stand adds a touch of contemporary elegance and minimalist sophistication to any dresser, nightstand, or retail counter display.",2.64,2.2,16.66666667,https://drive.google.com/file/d/1GMi0OkwisjrTWbO5vcMFLE9GzmgryYsj/view?usp=drive_link,16.67% Discount,,Crystal Hand Ring Stand v2,Ø­Ø§Ù…Ù„ Ø¹Ø±Ø¶ Ø®ÙˆØ§ØªÙ… Ø¹Ù„Ù‰ Ø´ÙƒÙ„ ÙŠØ¯ Ø¨ØªØµÙ…ÙŠÙ… Ù‡Ù†Ø¯Ø³ÙŠ Ù…Ø¶Ù„Ø¹,,,"Black,White,,",,
Minimalist Sculpted Necklace Bust Display,JWHLD-1225-010,Jewelry Organizer,The Timeless Silhouette Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",90,118.5 * 125.9 * 202.7,"Highlight your finest chains and pendants with this Minimalist Sculpted Necklace Bust Display.  Featuring a graceful, elongated neck design in a matte white finish, this stand offers a clean, distraction-free background that makes gold and silver jewelry pop.   Its balanced structure ensures stability on any counter or vanity, while the smooth curvature allows necklaces to drape naturally. Ideal for professional retail merchandising or personal organization, this elegant bust adds museum-quality sophistication to your collection.",4.55,4.55,0,https://drive.google.com/file/d/1OdxhJYiO23pzawAjMfANjltVmHtl1WuF/view?usp=drive_link,,,V2 Necklace Display Bust / Halsketten BÃ¼ste,Ø­Ø§Ù…Ù„ Ø¹Ø±Ø¶ Ù‚Ù„Ø§Ø¦Ø¯ Ù…Ù†Ø­ÙˆØª Ø¨ØªØµÙ…ÙŠÙ… ØªÙ…Ø«Ø§Ù„ Ù†ØµÙÙŠ Ø¨Ø³ÙŠØ·,,,"Black,White,,",,
Geometric Honeycomb Cork & Keepsake Display,JWHLD-1225-006,Jewelry Organizer,The Geometric Lattice Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",245,60 * 160 * 141.8,"Streamline your beauty station with this Geometric Honeycomb Lipstick Organizer.  Crafted with a clean white finish, this modern storage unit features a precise hexagonal grid designed to hold standard lipstick tubes securely.  Its structural design keeps your favorite shades visible and easily accessible, eliminating clutter from your vanity orn bbathroom counter while adding a chic, architectural touch to your makeup display.",9.84,9.84,0,https://drive.google.com/file/d/1OvocGI2_ec5KjQAW3PyrrPc7qhXV6GUa/view?usp=drive_link,,,Lipstick Holder Organizer,Ù„ÙˆØ­Ø© Ø¹Ø±Ø¶ ØªØ°ÙƒØ§Ø±Ø§Øª ÙˆÙÙ„ÙŠÙ† Ø¨ØªØµÙ…ÙŠÙ… Ø®Ù„ÙŠØ© Ù†Ø­Ù„ Ù‡Ù†Ø¯Ø³ÙŠ,,,"Black,White,,",,
Rotating Cube Cosmetic Storage Box,JWHLD-1225-009,Jewelry Organizer,The Kinetic,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",130,100 * 100 * 54.2,"Declutter your beauty station with this Rotating Cube Cosmetic Storage Box.  Designed as a discreet, minimalist cube, this organizer features a smooth swivel mechanism that opens to expose four separate compartments.  Perfect for separating beauty sponges, cotton pads, hair accessories, or small cosmetic samples, it keeps items dust-free and hygienic when closed.  This compact, modern solution adds both kinetic style and practical efficiency to any bathroom counter or dressing table.",6.55,6.55,0,https://drive.google.com/file/d/13pUflI9iv3JMkqJ-C_gHKpndiQOkzoPl/view?usp=drive_link,,,Rotating Storage Box,ØµÙ†Ø¯ÙˆÙ‚ ØªØ®Ø²ÙŠÙ† Ù…Ø³ØªØ­Ø¶Ø±Ø§Øª ØªØ¬Ù…ÙŠÙ„ Ù…ÙƒØ¹Ø¨ Ø§Ù„Ø´ÙƒÙ„ Ù‚Ø§Ø¨Ù„ Ù„Ù„Ø¯ÙˆØ±Ø§Ù†,,,"Black,White,,",,
Radial Tiered Jewelry Carousel Organizer,JWHLD-1225-008,Jewelry Organizer,Beauty Collection,"Accessory Enthusiasts, Professional Organizers, Apartment Dwellers, and Minimalist Decorators",147,150 * 150 * 71,"Optimize your vanity space with this Radial Tiered Jewelry Carousel Organizer.  This clever cylindrical unit features a segmented top tray with radial dividers, ideal for sorting stud earrings, rings, and small findings for quick visibility.  The base is equipped with multiple smooth-gliding, curved drawers that offer concealed, dust-free storage for delicate chains or charms.  Finished in a crisp matte white, its compact, architectural design brings order and modern efficiency to your daily accessory routine.",7.4,7.4,0,https://drive.google.com/file/d/1RKBP5LiJqyAWByC-YPiXCruf-RbrY2dG/view?usp=drive_link,,,Rotating Jewelry Box with Automatic Drawer Opening,Ù…Ù†Ø¸Ù… Ù…Ø¬ÙˆÙ‡Ø±Ø§Øª Ø¯ÙˆØ§Ø± (ÙƒØ§Ø±ÙˆØ³ÙŠÙ„) Ù…ØªØ¹Ø¯Ø¯ Ø§Ù„Ø·Ø¨Ù‚Ø§Øª Ø¨ØªØµÙ…ÙŠÙ… Ø´Ø¹Ø§Ø¹ÙŠ,,,"Black,White,,",,
Minimalist Sculpted Mannequin Headphone Stand,JWHLD-1225-002,Stands,The Sculptural Studio Collection,"Audiophiles, PC Gamers, Streamers, Modern Home Office Designers, and Accessory Enthusiasts",366,142.8 * 184.1 * 260,"Showcase your audio gear with this Minimalist Sculpted Mannequin Headphone Stand.  Designed with a sleek, artistic human profile in a matte white finish, this display piece provides a secure and stylish resting place for over-ear headphones or VR headsets.  Its realistic contours support the headband naturally to prevent deformation, while the sturdy design keeps your workspace clutter-free. Blending utility with modern art, this stand transforms your tech setup into a sophisticated visual statement.",14.68,14.68,0,https://drive.google.com/file/d/1g0u6dt7bdzNAndHfnxicmUccj0zIORuy/view?usp=drive_link,,,"Human head, mannequin for headphones",Ø­Ø§Ù…Ù„ Ø³Ù…Ø§Ø¹Ø§Øª Ø±Ø£Ø³ Ø¹Ù„Ù‰ Ø´ÙƒÙ„ Ù…Ø§Ù†ÙŠÙƒØ§Ù† Ù…Ù†Ø­ÙˆØª Ø¨ØªØµÙ…ÙŠÙ… Ø¨Ø³ÙŠØ·,,,"Black,White,,",,
Abstract Sculpted Profile Eyeglass Stand,JWHLD-1225-004,Stands,The Modern Silhouette Collection,"Daily Glasses Wearers, Minimalist Interior Designers, and Art-Loving Professionals",41,113.6 * 90 * 181.9,"Transform your eyewear into a modern art display with this Abstract Sculpted Profile Eyeglass Stand.  Designed with sleek, flowing lines that mimic a human face in profile, this matte bwhite holder provides a secure and stylish resting place for reading glasses or sunglasses.  The nose bridge offers perfect stability, keeping your lenses safe from scratches while adding a touch of avant-garde elegance to your nightstand, desk, or entryway console. Itâ€™s the perfect blend of artistic form and everyday function.",2.52,2.1,16.66666667,https://drive.google.com/file/d/1FYQZtEDbmFWJssFzNzkUrlCSUS0ovA_0/view?usp=drive_link,16.67% Discount,,Face Glasses Holder,Ø­Ø§Ù…Ù„ Ù†Ø¸Ø§Ø±Ø§Øª Ù…Ù†Ø­ÙˆØª Ø¨ØªØµÙ…ÙŠÙ… ÙˆØ¬Ù‡ Ø¬Ø§Ù†Ø¨ÙŠ ØªØ¬Ø±ÙŠØ¯ÙŠ,,,"Black,White,,",,
